@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
68,9,5,1,1,5,?
55,3,5,6,0,2,?
69,5,6,1,0,5,?
47,2,5,2,0,2,?
383,18,28,46,0,32,?
77,2,2,0,0,6,?
199,13,12,21,0,9,?
165,29,10,24,17,0,?
126,21,10,16,9,0,?
111,17,9,14,8,0,?
160,37,10,23,17,0,?
159,37,10,23,17,0,?
25,0,1,0,0,0,?
14,1,0,0,0,0,?
33,8,1,8,3,0,?
332,14,13,26,0,28,?
225,21,12,30,0,17,?
107,11,5,24,0,10,?
116,10,5,9,0,9,?
88,6,4,6,1,4,?
83,4,6,6,1,3,?
43,0,3,3,0,0,?
41,1,1,36,0,0,?
10,0,0,0,0,0,?
56,4,3,26,1,0,?
47,5,3,17,2,0,?
153,27,6,63,0,0,?
28,0,1,4,0,3,?
75,4,4,53,0,0,?
114,7,5,69,0,3,?
152,11,7,83,2,0,?
147,14,6,79,0,0,?
121,14,5,50,0,3,?
23,1,1,5,0,0,?
33,6,2,4,2,0,?
24,0,1,14,0,0,?
